Creato come nuovo set dati;Sample 013 By Administrator Date martedì, novembre 22 2022
cm-1;%T
2783.00;71.34
2782.00;71.39
2781.00;71.43
2780.00;71.47
2779.00;71.52
2778.00;71.58
2777.00;71.64
2776.00;71.71
2775.00;71.78
2774.00;71.85
2773.00;71.92
2772.00;71.98
2771.00;72.04
2770.00;72.09
2769.00;72.14
2768.00;72.19
2767.00;72.25
2766.00;72.32
2765.00;72.38
2764.00;72.43
2763.00;72.46
2762.00;72.48
2761.00;72.48
2760.00;72.49
2759.00;72.51
2758.00;72.56
2757.00;72.61
2756.00;72.67
2755.00;72.71
2754.00;72.75
2753.00;72.77
2752.00;72.80
2751.00;72.83
2750.00;72.88
2749.00;72.93
2748.00;72.98
2747.00;73.03
2746.00;73.08
2745.00;73.12
2744.00;73.15
2743.00;73.18
2742.00;73.20
2741.00;73.23
2740.00;73.26
2739.00;73.31
2738.00;73.35
2737.00;73.40
2736.00;73.44
2735.00;73.48
2734.00;73.51
2733.00;73.54
2732.00;73.55
2731.00;73.56
2730.00;73.56
2729.00;73.56
2728.00;73.57
2727.00;73.58
2726.00;73.61
2725.00;73.63
2724.00;73.66
2723.00;73.68
2722.00;73.68
2721.00;73.67
2720.00;73.66
2719.00;73.67
2718.00;73.68
2717.00;73.70
2716.00;73.70
2715.00;73.69
2714.00;73.66
2713.00;73.64
2712.00;73.62
2711.00;73.61
2710.00;73.58
2709.00;73.55
2708.00;73.51
2707.00;73.47
2706.00;73.44
2705.00;73.40
2704.00;73.37
2703.00;73.33
2702.00;73.28
2701.00;73.23
2700.00;73.18
2699.00;73.12
2698.00;73.06
2697.00;73.00
2696.00;72.93
2695.00;72.86
2694.00;72.78
2693.00;72.70
2692.00;72.63
2691.00;72.54
2690.00;72.45
2689.00;72.36
2688.00;72.27
2687.00;72.18
2686.00;72.08
2685.00;71.98
2684.00;71.88
2683.00;71.79
2682.00;71.71
2681.00;71.63
2680.00;71.55
2679.00;71.47
2678.00;71.39
2677.00;71.31
2676.00;71.23
2675.00;71.16
2674.00;71.10
2673.00;71.04
2672.00;70.98
2671.00;70.93
2670.00;70.88
2669.00;70.84
2668.00;70.82
2667.00;70.82
2666.00;70.83
2665.00;70.84
2664.00;70.84
2663.00;70.83
2662.00;70.83
2661.00;70.83
2660.00;70.85
2659.00;70.87
2658.00;70.89
2657.00;70.91
2656.00;70.93
2655.00;70.94
2654.00;70.97
2653.00;70.99
2652.00;71.03
2651.00;71.07
2650.00;71.11
2649.00;71.14
2648.00;71.16
2647.00;71.18
2646.00;71.20
2645.00;71.23
2644.00;71.25
2643.00;71.27
2642.00;71.28
2641.00;71.28
2640.00;71.29
2639.00;71.30
2638.00;71.32
2637.00;71.33
2636.00;71.35
2635.00;71.38
2634.00;71.40
2633.00;71.42
2632.00;71.44
2631.00;71.47
2630.00;71.50
2629.00;71.52
